nregistro,nombre,pactivos,labtitular,labcomercializador,cn,dosis,formaFarmaceuticaSimplificada,estado_aut,estado_rev,viasAdministracion,comerc,receta,generico,conduc,triangulo,huerfano,biosimilar,url_html_ficha_tecnica,url_foto_materiales,num_registros_atc,num_principios_activos
72591,MONTELUKAST STADA 5 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Laboratorio Stada S.L.,Laboratorio Stada S.L.,665727,5 mg,COMPRIMIDO MASTICABLE,1280268000000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/72591/FT_72591.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/72591/72591_materialas.jpg,3,1
74116,MONTELUKAST TECNIGEN 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MONTELUKAST SODICO,Tecnimede España Industria Farmaceutica S.A.,Tecnimede España Industria Farmaceutica S.A.,680798,10 mg,COMPRIMIDO,1306274400000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74116/FT_74116.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74116/74116_materialas.jpg,3,1
73409,MONTELUKAST VIATRIS 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MONTELUKAST SODICO,Viatris Limited,Viatris Pharmaceuticals S.L.,677323,10 mg,COMPRIMIDO,1296601200000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/73409/FT_73409.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/73409/73409_materialas.jpg,3,1
74086,MONTELUKAST VIATRIS 4 MG COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Viatris Limited,Viatris Pharmaceuticals S.L.,680734,4 mg,COMPRIMIDO MASTICABLE,1317938400000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74086/FT_74086.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74086/74086_materialas.jpg,3,1
74085,MONTELUKAST VIATRIS 5 MG COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Viatris Limited,Viatris Pharmaceuticals S.L.,680715,5 mg,COMPRIMIDO MASTICABLE,1317938400000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74085/FT_74085.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74085/74085_materialas.jpg,3,1
1151043005,NUCALA 100 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,MEPOLIZUMAB,Glaxosmithkline Trading Services Limited,Glaxosmithkline S.A.,726684,100 mg,INYECTABLE,1569535200000,,VÍA SUBCUTÁNEA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/1151043005/FT_1151043005.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/1151043005/1151043005_materialas.jpg,3,1
1151043003,NUCALA 100 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA,MEPOLIZUMAB,Glaxosmithkline Trading Services Limited,Glaxosmithkline S.A.,726685,100 mg,INYECTABLE,1569535200000,,VÍA SUBCUTÁNEA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/1151043003/FT_1151043003.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/1151043003/1151043003_materialas.jpg,3,1
1151043009,NUCALA 40 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA,MEPOLIZUMAB,Glaxosmithkline Trading Services Limited,Glaxosmithkline S.A.,758570,40 MG,INYECTABLE,1666086177000,,VÍA SUBCUTÁNEA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/1151043009/FT_1151043009.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/1151043009/1151043009_materialas.jpg,3,1
61666,"OXIS TURBUHALER 4,5 microgramos/INHALACION POLVO PARA INHALACION",FORMOTEROL FUMARATO DIHIDRATO,Laboratorio Beta S.A.,Laboratorio Beta S.A.,668871,"4,5 mcg formoterol fumarato dihidrato/ inhalación",INHALACIÓN PULMONAR,880930800000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/61666/FT_61666.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/61666/61666_materialas.jpg,3,1
61667,OXIS TURBUHALER 9 microgramos/INHALACION POLVO PARA INHALACION,FORMOTEROL FUMARATO DIHIDRATO,Laboratorio Beta S.A.,Laboratorio Beta S.A.,668863,9 mcg formoterol fumarato dihidrato/inhalación,INHALACIÓN PULMONAR,880930800000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/61667/FT_61667.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/61667/61667_materialas.jpg,3,1
62842,"PLUSVENT ACCUHALER 50 microgramos/100 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL",Glaxosmithkline S.A.,Glaxosmithkline S.A.,843052,50 µg salmeterol + 100 µg propionato fluticasona,INHALACIÓN PULMONAR,945471600000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/62842/FT_62842.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62842/62842_materialas.jpg,3,2
62843,"PLUSVENT ACCUHALER 50 microgramos/250 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","SALMETEROL, FLUTICASONA PROPIONATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,843649,50 µg salmeterol/ 250 µg fluticasona propionato,INHALACIÓN PULMONAR,945471600000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/62843/FT_62843.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62843/62843_materialas.jpg,3,2
